Name;RG;StrasseHausnummer;PLZ;Ort;Land;AdresseVoll;Latitude;Longitude
JAR016;JAR;Carl-Loewe-Ring 1;18435;Stralsund;DE;Carl-Loewe-Ring 1, 18435 Stralsund, DE;54.3220473;13.0552563
LIN008;LIN;Friedrichstraße 15;49809;Lingen (Ems);DE;Friedrichstraße 15, 49809 Lingen (Ems), DE;52.5214298;7.3313588
LIN024;LIN;Friedrich-Ebert-Ring 184;48429;Rheine;DE;Friedrich-Ebert-Ring 184, 48429 Rheine, DE;52.2951270;7.4506249
LIN035;LIN;Salzbergener Straße 72-86;48431;Rheine;DE;Salzbergener Straße 72-86, 48431 Rheine, DE;52.2805991;7.4339353
LIN042;LIN;Bramscher Straße 46-48;49593;Bersenbrück;DE;Bramscher Straße 46-48, 49593 Bersenbrück, DE;52.5498898;7.9498316
LIN054;LIN;Friedrichstraße 24;49610;Quakenbrück;DE;Friedrichstraße 24, 49610 Quakenbrück, DE;52.6734474;7.9461944
LIN055;LIN;Kistemakerstraße 2-8;48529;Nordhorn;DE;Kistemakerstraße 2-8, 48529 Nordhorn, DE;52.4450257;7.0635453
LIN077;LIN;Am Heidenturm 1;49477;Ibbenbüren;DE;Am Heidenturm 1, 49477 Ibbenbüren, DE;52.2694049;7.7194702
LIN085;LIN;Petersburger Wall 9;49074;Osnabrück;DE;Petersburger Wall 9, 49074 Osnabrück, DE;52.2674458;8.0551233
LIN086;LIN;Mönkedieckstraße 3-9;49088;Osnabrück;DE;Mönkedieckstraße 3-9, 49088 Osnabrück, DE;52.3005993;8.0601676
LIN087;LIN;Heiligenweg 2;49084;Osnabrück;DE;Heiligenweg 2, 49084 Osnabrück, DE;52.2726405;8.0857930
LIN088;LIN;Hannoversche Straße 90;49084;Osnabrück;DE;Hannoversche Straße 90, 49084 Osnabrück, DE;52.2579580;8.0845078
LIN089;LIN;Bohmter Straße 64-64c;49074;Osnabrück;DE;Bohmter Straße 64-64c, 49074 Osnabrück, DE;52.2809945;8.0666581
LIN090;LIN;Pagenstecherstraße 144;49090;Osnabrück;DE;Pagenstecherstraße 144, 49090 Osnabrück, DE;52.2953717;8.0163492
LIN097;LIN;Bahnhofstraße 43;48565;Steinfurt;DE;Bahnhofstraße 43, 48565 Steinfurt, DE;52.1471537;7.3320652
LIN107;LIN;Weststraße 9;49324;Melle;DE;Weststraße 9, 49324 Melle, DE;52.2057796;8.3354947
MEI006;MEI;Dr.-Kurt-Schumacher-Straße 16;39576;Stendal;DE;Dr.-Kurt-Schumacher-Straße 16, 39576 Stendal, DE;52.6019021;11.8369673
MEI017;MEI;Löderburger Straße 97a;39418;Staßfurt;DE;Löderburger Straße 97a, 39418 Staßfurt, DE;51.8631642;11.5635038
MEI023;MEI;Schillerstraße 11;39218;Schönebeck;DE;Schillerstraße 11, 39218 Schönebeck, DE;52.0164333;11.7330704
MEI032;MEI;Emmerstedter Straße 12;38350;Helmstedt;DE;Emmerstedter Straße 12, 38350 Helmstedt, DE;52.2420239;10.9927799
MEI035;MEI;Bergstraße 27;39116;Magdeburg;DE;Bergstraße 27, 39116 Magdeburg, DE;52.1079594;11.5932198
MEI037;MEI;Magdeburger Straße 81;39340;Haldensleben;DE;Magdeburger Straße 81, 39340 Haldensleben, DE;52.2867777;11.4201236
MEI038;MEI;Olvenstedter Graseweg 37;39128;Magdeburg;DE;Olvenstedter Graseweg 37, 39128 Magdeburg, DE;52.1602399;11.6043898
MEI040;MEI;Ackerstrasse 2;39112;Magdeburg;DE;Ackerstrasse 2, 39112 Magdeburg, DE;52.1154091;11.6189486
MEI041;MEI;Große Diesdorfer Straße 41;39110;Magdeburg;DE;Große Diesdorfer Straße 41, 39110 Magdeburg, DE;52.1298776;11.6042073
MEI047;MEI;Hanns-Eisler-Platz 11;39128;Magdeburg;DE;Hanns-Eisler-Platz 11, 39128 Magdeburg, DE;52.1695284;11.6250972
MEI048;MEI;Friedrich-Ebert-Straße 73;39114;Magdeburg;DE;Friedrich-Ebert-Straße 73, 39114 Magdeburg, DE;52.1262450;11.6660562
MEI051;MEI;Rogätzer Straße 27;39106;Magdeburg;DE;Rogätzer Straße 27, 39106 Magdeburg, DE;52.1485722;11.6558445
MEI057;MEI;Willy-Brandt-Platz 1;39104;Magdeburg;DE;Willy-Brandt-Platz 1, 39104 Magdeburg, DE;52.1313563;11.6284941
MEI068;MEI;Wolfsburger Straße 1;38820;Halberstadt;DE;Wolfsburger Straße 1, 38820 Halberstadt, DE;51.9041889;11.0396137
MEI069;MEI;Magdeburger Straße 47;38820;Halberstadt;DE;Magdeburger Straße 47, 38820 Halberstadt, DE;51.8982220;11.0621802
MEI088;MEI;Theodor-Fontane-Straße 34;38855;Wernigerode;DE;Theodor-Fontane-Straße 34, 38855 Wernigerode, DE;51.8456911;10.8058515
MUN006;MUN;Mauerstraße 11;34117;Kassel;DE;Mauerstraße 11, 34117 Kassel, DE;51.3166023;9.4965434
MUN018;MUN;Leipziger Straße 124;34123;Kassel;DE;Leipziger Straße 124, 34123 Kassel, DE;51.3049950;9.5265172
MUN031;MUN;Bismarckstraße 10;36179;Bebra;DE;Bismarckstraße 10, 36179 Bebra, DE;50.9697007;9.7954200
MUN036;MUN;Fuldatalstraße 14;34125;Kassel;DE;Fuldatalstraße 14, 34125 Kassel, DE;51.3255941;9.5185882
MUN045;MUN;Nordhäuser Weg 3;37154;Northeim;DE;Nordhäuser Weg 3, 37154 Northeim, DE;51.7083731;10.0051559
MUN047;MUN;Niedervellmarer Straße 2;34127;Kassel;DE;Niedervellmarer Straße 2, 34127 Kassel, DE;51.3387439;9.4899448
MUN050;MUN;Zum Feldlager 119;34246;Vellmar;DE;Zum Feldlager 119, 34246 Vellmar, DE;51.3524029;9.4668676
MUN085;MUN;Ostring 40-44;34277;Fuldabrück;DE;Ostring 40-44, 34277 Fuldabrück, DE;51.2723604;9.4998079
NOR004;NOR;Theodor-Heuss-Ring 136;24143;Kiel;DE;Theodor-Heuss-Ring 136, 24143 Kiel, DE;54.3005122;10.1404225
NOR007;NOR;Neumünsterstraße 49b;24598;Boostedt;DE;Neumünsterstraße 49b, 24598 Boostedt, DE;54.0133723;10.0151106
NOR013;NOR;Werftstraße 29;24939;Flensburg;DE;Werftstraße 29, 24939 Flensburg, DE;54.7998235;9.4253809
NOR016;NOR;Augustenstraße 30a-32;24143;Kiel;DE;Augustenstraße 30a-32, 24143 Kiel, DE;54.3144533;10.1472092
NOR022;NOR;Hafenstraße 10-30;25746;Heide;DE;Hafenstraße 10-30, 25746 Heide, DE;54.1921792;9.0916016
NOR026;NOR;Kurt-Schumacher-Platz 4;24109;Kiel;DE;Kurt-Schumacher-Platz 4, 24109 Kiel, DE;54.3232444;10.0538750
NOR031;NOR;Goethestraße 11;24534;Neumünster;DE;Goethestraße 11, 24534 Neumünster, DE;54.0811006;9.9948198
NOR041;NOR;Friesische Straße 156;24937;Flensburg;DE;Friesische Straße 156, 24937 Flensburg, DE;54.7786733;9.4177963
NOR049;NOR;Schleswiger Chaussee 45;24768;Rendsburg;DE;Schleswiger Chaussee 45, 24768 Rendsburg, DE;54.3125648;9.6443894
NOR055;NOR;Konrad-Adenauer-Straße 3;24768;Rendsburg;DE;Konrad-Adenauer-Straße 3, 24768 Rendsburg, DE;54.3016284;9.6738963
